Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Link
Aapka Solar,,"Jal Campus, Sarthana to Canal Road, Opp.Matrushree Farm, Nr. Sarthana police station, Simada, Surat, Gujarat – 395006",+91 92749 93793,www.aapkasolar.com,India,,,,,,,,,(S)maller Installations,Design,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,Design,India,,,,,,,,,,,,,,,,"6 Dec 2019
Update Above Information",,https://www.enfsolar.com/aapka-solar?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120090&utm_campaign=profiles_installer
AVI Appliances Pvt. Ltd.,,"65/66, Narayan Industrial Estate, Opp. Raipur Mill, Saraspur, Ahmedabad 380 018, Gujarat",+91 93 27067767,Click to get email address,www.avi-products.com,India,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid","Evaluation, Design, Monitoring",India,,,,,,,"Business Details
On-Grid / Off-Grid On-grid, Off-grid
Other Services Evaluation, Design, Monitoring
Operating Area India","3 Jan 2021
Update Above Information",https://www.enfsolar.com/avi-appliances?directory=installer&utm_source=ENF&utm_medium=India&utm_content=42201&utm_campaign=profiles_installer
Aaradhya Solar World,,"Power House Road, Rourkela, Odisha 769012",+91 93378 56840,aaradhya-solar-world.ueniweb.com,India,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,"31 Dec 2019
Update Above Information",,https://www.enfsolar.com/aaradhya-solar-world?directory=installer&utm_source=ENF&utm_medium=India&utm_content=120811&utm_campaign=profiles_installer
Aarihant Solar Products Pvt. Ltd.,,"Kaveri Path, Jaipur, Rajasthan, 302020",+91 98299 59567,https://aarihant-solar-products-pvt-ltd.ue...,India,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,,"7 Dec 2020
Update Above Information",,https://www.enfsolar.com/aarihant-solar-products-pvt-ltd?directory=installer&utm_source=ENF&utm_medium=India&utm_content=128759&utm_campaign=profiles_installer
AARK Energy,,"Parkwood - B1, Near Dmart, Ghodbunder Road, Thane (W)",+91 8806480480,Click to get email address,www.aarkenergy.com,India,"Business Details
On-Grid / Off-Grid On-grid
Installation size (S)maller Installations, 1(M)Wp+ Installations
Other Services Evaluation, Design, Monitoring
Operating Area India
Panel Suppliers Jinko Solar Holding Co., Ltd., RenewSys India Private Limited
Inverter Suppliers Sungrow Power Supply Co., Ltd., SolarEdge Technologies, Ltd.
Parent Company The AARK International",,,,,,,,,,,On-grid,"(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design, Monitoring",,,,,,,,,,On-grid,"(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design, Monitoring",India,"Jinko Solar Holding Co., Ltd., RenewSys India Private Limited","Sungrow Power Supply Co., Ltd., SolarEdge Technologies, Ltd.",The AARK International,,,,,,,,"Sungrow Power Supply Co., Ltd., SolarEdge Technologies, Ltd.",The AARK International,,,,,,,,,,,,"3 Apr 2020
Update Above Information",,https://www.enfsolar.com/aark-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=119276&utm_campaign=profiles_installer
M/s Aarohi Engineers & Infrastructure,,"Door No. 0-11/A, Venkayyapalem, Makavarapalem, Visakapatnam, Andhrapradesh, 531113",+91 99494 18968,aarohiinfra.com/,India,,,,,,,,,"(S)maller Installations, 1(M)Wp+ Installations",India,,,,,,,,,,,,,,,,,,,,,,,,"(S)maller Installations, 1(M)Wp+ Installations",India,,,,,,,,,,,,,,,,,"4 Mar 2021
Update Above Information",,https://www.enfsolar.com/aarohi-engineers-infrastructure?directory=installer&utm_source=ENF&utm_medium=India&utm_content=130468&utm_campaign=profiles_installer
Aaron Power Solutions,,"No 45 ,Tanjore Road, Varaganery, Near Union Auto Engineering Works, Trichy. Tamilnadu, 620008",+91 98430 11199,www.aaronpowersolutions.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,"Design, Monitoring",India,,,,,,,,,,,,,,,"20 Mar 2021
Update Above Information",,https://www.enfsolar.com/aaron-power-solutions?directory=installer&utm_source=ENF&utm_medium=India&utm_content=107212&utm_campaign=profiles_installer
Aarushee Solar Energy LLP,,"C/302, Shreepad Darshan, Nandivali, Kalyan East, Mumbai, 421306",+91 9987 237302,Click to get email address,www.aarusheesolar.com,India,"Pramod Kamble
GM Projects",Pramod Kamble,GM Projects,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,"On-grid, Off-grid",(S)maller Installations,Design,India,"REC Group, Tata Power Solar Systems Ltd.",SMA Solar Technology AG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17 Mar 2021
Update Above Information",https://www.enfsolar.com/aarushee-solar-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=49023&utm_campaign=profiles_installer
Aashman Solar Pvt. Ltd.,,"No. 13/3, TTK Road, 2nd Cross Street, Alwarpet, Chennai - 600018",+91 82 20726050,aashmansolar.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,,,,,,,,,,,,,,,,"25 Sep 2019
Update Above Information",,https://www.enfsolar.com/aashman-solar?directory=installer&utm_source=ENF&utm_medium=India&utm_content=118760&utm_campaign=profiles_installer
Aatap Energy Pvt Ltd,,"Gujarat University Startup & Entrepreneurship Council (GUSEC), University School of Sciences, Opposite Departments of Chemistry & Botany, Gujarat University, Ahmedabad - 380009",+91 99985 45400,www.aatapenergy.com,India,,AATAP ENERGY,AATAP ENERGY,,,,,,,,2014,On-grid,,,,2014,On-grid,"(S)maller Installations, 1(M)Wp+ Installations",Design,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7 Apr 2020
Update Above Information",https://www.enfsolar.com/aatap-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=54047&utm_campaign=profiles_installer
Aavis Infra,,"No. 32, First Floor, Santrupti, Motappa Layout, Varanasi Main Road, Near Mother Theresa School, Anandpura, Bangalore, 560036",+91 9448800848,aavisinfra.com/,India,,,,,,,,,"(S)maller Installations, 1(M)Wp+ Installations",India,,,,,,,,,,,,,,,,,,,,,,,,"(S)maller Installations, 1(M)Wp+ Installations",India,,,,,,,,,,,,,,,,,"11 Aug 2020
Update Above Information",,https://www.enfsolar.com/aavis-infra?directory=installer&utm_source=ENF&utm_medium=India&utm_content=126029&utm_campaign=profiles_installer
AB Energía Solutions Pvt. Ltd.,,"212, Swastick Ch., CST Road, Chembur, Mumbai 400071",+91 22 67422852,www.abenergia.co.in,India,,"Sushil Bhatia
Managing Director",Sushil Bhatia,Managing Director,,,,,,,1,"On-grid, Off-grid",,,,1,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations","Evaluation, Design","Bahrain, India",Hanwha Q CELLS GmbH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13 Aug 2020
Update Above Information",https://www.enfsolar.com/ab-energia?directory=installer&utm_source=ENF&utm_medium=India&utm_content=67759&utm_campaign=profiles_installer
ABA Electricals Pvt. Ltd.,,"12/17, Kovai Garden, Kovaipudur, Coimbatore, Tamil Nadu - 641042",+91 85920 34476,Click to get email address,abaelectricals.in,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India,,,,,,,,,,,,,,,"28 Aug 2020
Update Above Information",,https://www.enfsolar.com/aba-electricals?directory=installer&utm_source=ENF&utm_medium=India&utm_content=115207&utm_campaign=profiles_installer
Abacus Infrastructures Pvt. Ltd.,,"Fifth Floor, Victoria Castle, IA Colony, Prakashnagar, Begumpet, Hyderabad, Telangana – 500003",+91 8008499040,abacusinfra.in,India,,,,,,,,,"On-grid, Off-grid",1(M)Wp+ Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",1(M)Wp+ Installations,India,,,,,,,,,,,,,,,,"15 Mar 2021
Update Above Information",,https://www.enfsolar.com/abacus-infrastructures?directory=installer&utm_source=ENF&utm_medium=India&utm_content=63987&utm_campaign=profiles_installer
Abellon CleanEnergy Limited,,"Sangeeta Complex, Near Parimal Railway Crossing, Ellisbridge, Ahmedabad-380006",+91 79 66776100,www.abelloncleanenergy.com,India,,avinash gupta,avinash gupta,,,,,,,,(S)maller Installations,Design,,,,(S)maller Installations,Design,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11 May 2020
Update Above Information",https://www.enfsolar.com/abellon-cleanenergy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=42085&utm_campaign=profiles_installer
Abhishek Enterprises,,"G-2, Chetan Apartment, Opposite Anjoy Restaurant,Jetalpur Road, Alkapuri, Vadodara, Gujarat, 390007",+91 972 7713162,www.abhishek-enterprises.com,India,,,,,,,,,Off-grid,(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,Off-grid,(S)maller Installations,Design,India,"Hanwha Q CELLS GmbH, SunPower Corp., Canadian Solar Inc., Panasonic Corporation (Sanyo), Sunpreme","SMA Solar Technology AG, Sungrow Power Supply Co., Ltd., Enphase Energy, Inc., Delta Energy Systems (Germany) GmbH, Shenzhen Growatt New Energy Technology Co., Ltd., Fimer S.p.A., Microtek House, Luminous Power Technologies Pvt. Ltd., Genus Innovation Limited, Statcon Energiaa Pvt Ltd.",,,,,,,,,,,,,"6 Jul 2020
Update Above Information",,https://www.enfsolar.com/abhishek-enterprises?directory=installer&utm_source=ENF&utm_medium=India&utm_content=7053&utm_campaign=profiles_installer
Abhishek Solar Industries Pvt Ltd.,,"Mesra P.O, Vikas Neori , Beside Premchand Mahto School, Ranchi, Jharkhand 835217",+91 943 1103421,Click to get email address,www.abhisheksolar.com,India,"Business Details
Installation Starting Date 1999
Installation size (S)maller Installations
Operating Area India",,,,,,,,(S)maller Installations,,,1999,(S)maller Installations,India,,,,,,,,,,1999,(S)maller Installations,India,,,,,,,,(S)maller Installations,India,,,,,,,,,,,,,,,,"15 Dec 2020
Update Above Information",,https://www.enfsolar.com/abhishek-solar-industries?directory=installer&utm_source=ENF&utm_medium=India&utm_content=83909&utm_campaign=profiles_installer
Abhitrans Engineers and Contractors,,"F-10, B2 Building, Paud Rd, Sarvatra Society, Anand Nagar, Kothrud, Pune, Maharashtra 411038",+91 988 1104488,www.abhitransengineers.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,Design,India,,,,,,,,,,,,,,,"15 Oct 2020
Update Above Information",,https://www.enfsolar.com/abhitrans-engineers-and-contractors?directory=installer&utm_source=ENF&utm_medium=India&utm_content=113935&utm_campaign=profiles_installer
Abhiyaan Infra Projects Pvt. Ltd.,,"M-102 to M-105, J S Arcade, D-1, Sector-18, Noida - 201303",+91 120 2515666,abhiyaaninfra.com,India,,,,,,,,,"(S)maller Installations, 1(M)Wp+ Installations",India,,,,,,,,,,,,,,,,,,,,,,,,"(S)maller Installations, 1(M)Wp+ Installations",India,,,,,,,,,,,,,,,,,"14 Nov 2020
Update Above Information",,https://www.enfsolar.com/abhiyaan-infra-projects?directory=installer&utm_source=ENF&utm_medium=India&utm_content=85408&utm_campaign=profiles_installer
ABI Energy Consultancy Services Private Limited,,"22, Subramanian Nagar 2 nd Street , Kodambakkam, Chennai-600 024",+91 44 65383966,abienergy.com,India,,,,,,,,,On-grid,"Evaluation, Monitoring",,,,,,,,,,,,,,,,,,,,,,,,On-grid,"Evaluation, Monitoring",India,,,,,,,,,,,,,,,,"26 Aug 2020
Update Above Information",,https://www.enfsolar.com/abi-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=123601&utm_campaign=profiles_installer
Able Electronic Services,,"No 4/159-B, Vadavalli to Kanuvai Road, Opp Sri Renganathar Matric Hr.Sec.School, Kalappanaickenpalayam, Somiyampalayam(PO), Coimbatore - 641 108, Tamilnadu",+91 422 2977050,Click to get email address,www.ableelectronics.in,India,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid","(S)maller Installations, 1(M)Wp+ Installations",Evaluation,India,,,,,,,,,,,,,,,"7 Aug 2019
Update Above Information",,https://www.enfsolar.com/able-electronic-services?directory=installer&utm_source=ENF&utm_medium=India&utm_content=117152&utm_campaign=profiles_installer
Ablers Group,,"815 A, 8th Floor, Unitech Arcadia, Sec – 49, Gurgaon 122018",+91 8750685725,www.ablersgroup.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,India,,,,,,,,,,,,,,,,"14 Nov 2020
Update Above Information",,https://www.enfsolar.com/ablers?directory=installer&utm_source=ENF&utm_medium=India&utm_content=85407&utm_campaign=profiles_installer
Abner Power Energy Pvt. Ltd.,,"403, Gajraj CHS, Kopri, Thane(E), Maharashtra",+91 94047 78797,https://abnercorp.com,India,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,,,,,,,,,,,,,,,,,,,,,,,,"On-grid, Off-grid",(S)maller Installations,Design,India,,,,,,,,,,,,,,,"25 Feb 2020
Update Above Information",,https://www.enfsolar.com/abner-power-energy?directory=installer&utm_source=ENF&utm_medium=India&utm_content=122464&utm_campaign=profiles_installer
